municipio;data;populacaoTCU2019; casos ;obitos
Manaus;27/03/2020;2182763;0;0
Manaus;28/03/2020;2182763;105;0
Manaus;29/03/2020;2182763;26;0
Manaus;30/03/2020;2182763;9;0
Manaus;31/03/2020;2182763;19;2
Manaus;01/04/2020;2182763;20;0
Manaus;02/04/2020;2182763;26;0
Manaus;03/04/2020;2182763;27;2
Manaus;04/04/2020;2182763;51;5
Manaus;05/04/2020;2182763;96;1
Manaus;06/04/2020;2182763;94;5
Manaus;07/04/2020;2182763;87;4
Manaus;08/04/2020;2182763;152;5
Manaus;09/04/2020;2182763;88;9
Manaus;10/04/2020;2182763;63;9
Manaus;11/04/2020;2182763;69;3
Manaus;12/04/2020;2182763;121;7
Manaus;13/04/2020;2182763;53;10
Manaus;14/04/2020;2182763;189;19
Manaus;15/04/2020;2182763;55;11
Manaus;16/04/2020;2182763;109;15
Manaus;17/04/2020;2182763;72;20
Manaus;18/04/2020;2182763;62;7
Manaus;19/04/2020;2182763;71;22
Manaus;20/04/2020;2182763;108;0
Manaus;21/04/2020;2182763;37;7
Manaus;22/04/2020;2182763;149;9
Manaus;23/04/2020;2182763;328;21
Manaus;24/04/2020;2182763;195;14
Manaus;25/04/2020;2182763;197;26
Manaus;26/04/2020;2182763;44;13
Manaus;27/04/2020;2182763;16;10
Manaus;28/04/2020;2182763;161;18
Manaus;29/04/2020;2182763;192;14
Manaus;30/04/2020;2182763;182;24
Manaus;01/05/2020;2182763;218;45
Manaus;02/05/2020;2182763;167;11
Manaus;03/05/2020;2182763;414;28
Manaus;04/05/2020;2182763;272;22
Manaus;05/05/2020;2182763;460;41
Manaus;06/05/2020;2182763;670;73
Manaus;07/05/2020;2182763;423;31
Manaus;08/05/2020;2182763;137;41
Manaus;09/05/2020;2182763;709;56
Manaus;10/05/2020;2182763;455;20
Manaus;11/05/2020;2182763;66;11
Manaus;12/05/2020;2182763;613;35
Manaus;13/05/2020;2182763;753;31
Manaus;14/05/2020;2182763;780;52
